Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 0:00,2019,12,1,0:00,-9.2,,-13.6,,70,,2,,11,,,,101.63,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 1:00,2019,12,1,1:00,-9.8,,-14.3,,70,,1,,9,,,,101.65,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 2:00,2019,12,1,2:00,-9.9,,-14.2,,71,,2,,11,,,,101.58,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 3:00,2019,12,1,3:00,-10.5,,-14.2,,999,,2,,6,,,,101.51,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 4:00,2019,12,1,4:00,-11,,-14.3,,77,,34,,4,,,,101.61,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 5:00,2019,12,1,5:00,-10.2,,-14.5,,71,,3,,10,,,,NoData,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 6:00,2019,12,1,6:00,-10.7,,-14.2,,76,,3,,10,,,,101.51,,,,-16,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 7:00,2019,12,1,7:00,-10.6,,-14.4,,999,,4,,11,,,,101.47,,,,-16,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 8:00,2019,12,1,8:00,-10,,-13.1,,78,,5,,9,,,,101.42,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 9:00,2019,12,1,9:00,-9.4,,-13.4,,73,,8,,8,,,,101.53,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 10:00,2019,12,1,10:00,-9.2,,-14.1,,68,,4,,16,,,,101.44,,,,-16,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 11:00,2019,12,1,11:00,-8.6,,-13.7,,67,,4,,13,,,,101.38,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 12:00,2019,12,1,12:00,-8.3,,-13.7,,65,,4,,19,,,,101.17,,,,-16,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 13:00,2019,12,1,13:00,-8,,-13.2,,66,,4,,21,,,,101.02,,,,-16,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 14:00,2019,12,1,14:00,-7.9,,-13.2,,66,,4,,22,,,,101,,,,-16,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 15:00,2019,12,1,15:00,-7.8,,-12.7,,68,,4,,18,,,,100.99,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 16:00,2019,12,1,16:00,-7.8,,-12.6,,68,,4,,20,,,,100.97,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 17:00,2019,12,1,17:00,-7.6,,-12.2,,70,,4,,20,,,,101.01,,,,-15,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 18:00,2019,12,1,18:00,-7.2,,-11.9,,69,,4,,19,,,,101.02,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 19:00,2019,12,1,19:00,-6.9,,-11.6,,69,,4,,20,,,,100.94,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 20:00,2019,12,1,20:00,-6.7,,-11.3,,70,,4,,19,,,,100.85,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 21:00,2019,12,1,21:00,-6.3,,-10.8,,70,,4,,19,,,,100.87,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 22:00,2019,12,1,22:00,-6.3,,-10.8,,71,,4,,24,,,,100.76,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-01 23:00,2019,12,1,23:00,-5.8,,-11,,67,,4,,23,,,,100.77,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 0:00,2019,12,2,0:00,-5.5,,-10.9,,66,,4,,24,,,,100.71,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 1:00,2019,12,2,1:00,-5.7,,-10.5,,69,,3,,22,,,,100.64,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 2:00,2019,12,2,2:00,-6.1,,-9.9,,75,,3,,22,,,,100.66,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 3:00,2019,12,2,3:00,-6,,-9.4,,77,,3,,20,,,,100.66,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 4:00,2019,12,2,4:00,-5.8,,-9.8,,73,,2,,19,,,,100.65,,,,-12,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 5:00,2019,12,2,5:00,-6.2,,-9.1,,80,,2,,17,,,,100.67,,,,-12,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 6:00,2019,12,2,6:00,-6.7,,-9.7,,999,,3,,21,,,,100.7,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 7:00,2019,12,2,7:00,-6.9,,-9.7,,80,,2,,22,,,,100.72,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 8:00,2019,12,2,8:00,-6.6,,-9.9,,77,,2,,19,,,,100.78,,,,-13,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 9:00,2019,12,2,9:00,-6.8,,-10,,78,,3,,21,,,,100.81,,,,-14,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 10:00,2019,12,2,10:00,-5.7,,-10,,72,,3,,20,,,,100.82,,,,-12,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 11:00,2019,12,2,11:00,-4.5,,-9.7,,67,,3,,27,,,,100.999,,,,-12,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 12:00,2019,12,2,12:00,-3.8,,-9.7,,64,,3,,28,,,,100.71,,,,-11,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 13:00,2019,12,2,13:00,-2.5,,-9.2,,60,,2,,24,,,,100.67,,,,-9,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 14:00,2019,12,2,14:00,-3,,-9.4,,61,,2,,22,,,,100.65,,,,-9,,NA
-73.999,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2019-12-02 15:00,2019,12,2,15:00,-2.9,,-9.7,,60,,3,,21,,,,100.67,,,,-9,,NA
