Date & Time,PM2.5 (ug/m3),PM10 (ug/m3),O3 (ppb),NO (ppb),NO2 (ppb),SO2 (ppb)
01-11-2019 01:00,<Samp,<Samp,6.6,0.4,6.4,0.0
01-11-2019 02:00,InVld,InVld,12.1,0.0,3.4,0.0
01-11-2019 03:00,InVld,InVld,18.1,0.0,2.6,0.0
01-11-2019 04:00,InVld,InVld,23.7,0.0,3.0,0.0
01-11-2019 05:00,InVld,InVld,22.3,0.0,2.2,0.0
01-11-2019 06:00,InVld,InVld,21.6,0.0,2.1,0.0
01-11-2019 07:00,InVld,InVld,20.8,0.1,1.7,0.0
01-11-2019 08:00,InVld,InVld,20.7,0.1,1.3,0.0
01-11-2019 09:00,InVld,InVld,20.5,0.1,1.0,0.0
01-11-2019 10:00,InVld,InVld,22.8,0.1,0.8,0.0
01-11-2019 11:00,InVld,InVld,24.0,0.1,1.0,0.0
01-11-2019 12:00,InVld,InVld,24.8,0.0,1.2,0.0
01-11-2019 13:00,InVld,InVld,26.5,0.0,1.4,0.0
01-11-2019 14:00,InVld,InVld,29.3,0.1,1.0,0.0
01-11-2019 15:00,InVld,InVld,29.0,0.0,1.2,0.0
01-11-2019 16:00,InVld,InVld,27.8,0.0,1.5,0.0
01-11-2019 17:00,InVld,InVld,26.9,0.0,1.5,0.0
01-11-2019 18:00,InVld,InVld,25.9,0.0,1.5,0.0
01-11-2019 19:00,InVld,InVld,25.7,0.0,1.5,0.0
01-11-2019 20:00,InVld,InVld,25.9,0.0,1.2,0.0
01-11-2019 21:00,InVld,InVld,26.8,0.0,0.3,0.0
01-11-2019 22:00,InVld,InVld,25.8,0.0,0.6,0.0
01-11-2019 23:00,InVld,InVld,25.0,0.0,1.1,0.0
01-11-2019 24:00,InVld,InVld,24.4,0.0,1.3,0.0
02-11-2019 01:00,InVld,InVld,23.2,0.0,1.0,0.0
02-11-2019 02:00,InVld,InVld,22.9,0.0,1.1,0.0
02-11-2019 03:00,InVld,InVld,21.3,0.0,2.1,0.0
02-11-2019 04:00,InVld,InVld,19.1,0.0,3.5,0.0
02-11-2019 05:00,InVld,InVld,17.8,0.0,3.5,0.0
02-11-2019 06:00,InVld,InVld,9.5,0.4,10.5,0.0
02-11-2019 07:00,InVld,InVld,7.2,1.1,11.2,0.0
02-11-2019 08:00,InVld,InVld,5.9,4.2,17.1,0.0
02-11-2019 09:00,InVld,InVld,18.5,1.1,5.7,1.3
02-11-2019 10:00,InVld,InVld,23.1,0.5,2.1,1.0
02-11-2019 11:00,InVld,InVld,25.4,0.1,0.9,0.1
02-11-2019 12:00,InVld,InVld,26.5,0.0,0.8,InVld
02-11-2019 13:00,InVld,InVld,27.1,0.1,1.3,InVld
02-11-2019 14:00,InVld,InVld,26.4,0.2,2.4,InVld
02-11-2019 15:00,InVld,InVld,26.7,0.1,2.0,InVld
02-11-2019 16:00,InVld,InVld,24.9,0.1,3.7,InVld
02-11-2019 17:00,InVld,InVld,24.0,0.0,5.2,InVld
02-11-2019 18:00,InVld,InVld,28.4,0.0,2.8,InVld
02-11-2019 19:00,InVld,InVld,28.2,0.0,2.6,InVld
02-11-2019 20:00,InVld,InVld,27.2,0.0,2.7,InVld
02-11-2019 21:00,InVld,InVld,23.5,0.0,3.1,0.0
02-11-2019 22:00,InVld,InVld,23.3,0.0,3.3,0.0
02-11-2019 23:00,InVld,InVld,23.0,0.0,2.3,0.0
02-11-2019 24:00,InVld,InVld,20.0,0.0,2.6,0.1
03-11-2019 01:00,InVld,InVld,11.5,0.0,2.1,0.0
03-11-2019 02:00,InVld,InVld,18.1,0.0,4.6,2.2
03-11-2019 03:00,InVld,InVld,23.9,0.0,1.8,0.6
