"Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13"
"Alcohol",0.144329395406011,0.483651547817215,0.207382624116357,0.0178563014555057,0.26566365292337,0.21353864800908,0.0563963580348739,0.396139258457787,0.508619116264867,0.211604727081418,0.225916962136754,0.266286450846061,0.0149699706388031
"Malic",-0.245187580257221,0.224930934627845,-0.0890128856596576,-0.536890283549978,-0.0352136282913454,0.536813849972435,-0.420523909322631,0.0658267435952493,-0.0752830441010852,-0.309079943614174,-0.0764855392508652,-0.121696035385379,0.0259637460803509
"Ash",-0.00205106144437142,0.316068814025315,-0.626223900869347,0.214175562205769,0.143025473789541,0.154474664699381,0.149170611349505,-0.170260020873331,-0.30769444529781,-0.0271253886293371,0.498691415106462,0.0496223732646155,-0.141218031751627
"Alcalinity",-0.239320405487535,-0.0105905022881913,-0.612080349945782,-0.0608594144587453,-0.0661029415745121,-0.100824505144629,0.28696913571381,0.427970182886863,0.200449313902057,0.0527994238696727,-0.479313780067562,0.0557428690868826,0.0916828545807554
"Magnesium",0.141992041952987,0.299634003237862,-0.130756934850279,0.35179658014753,-0.72704851477621,0.0381439399109387,-0.322883302632056,-0.156361432850578,0.271402572270132,0.0678702228207947,-0.0712889146583841,-0.062220105393117,0.0567742218789035
"Phenols",0.39466084506663,0.0650395118192796,-0.146178963484672,-0.198068347901217,0.149318409307233,-0.0841222998183005,0.0279249752899263,-0.405934085620908,0.286034520052904,-0.320131352164514,-0.304341187942275,0.303882451132639,-0.463907913905522
"Flavanoids",0.422934296710059,-0.00335981210030756,-0.150681899899448,-0.152294794590673,0.10902583840041,-0.0189200230898127,0.0606852142141249,-0.187245356547009,0.0495784918486954,-0.163150509751003,0.0256940934890223,0.0428988287192072,0.832257064731401
"Nonflavanoid",-0.298533102954715,0.0287794881129867,-0.17036816235965,0.203301019890231,0.500702983199455,-0.258594010968592,-0.595447289150865,-0.233284649227592,0.195501319471291,0.215535070261384,-0.116895863103838,-0.0423521886893248,0.114039849740326
"Proanthocyanins",0.313429488307689,0.0393017222897327,-0.149454309462026,-0.399056532872229,-0.136859821154829,-0.53379538850053,-0.372139345737621,0.368226750279578,-0.209144867712596,0.134183900044524,0.237362565347742,0.0955530271182398,-0.116917067186194
"Color",-0.0886167047247233,0.529995672070044,0.137306212490242,-0.0659256816439304,0.0764367795521695,-0.418644141546828,0.227712140244872,-0.0337969168926361,0.0562175227657174,-0.290775184010724,-0.0318387982493347,-0.604221625671041,-0.01199280246999
"Hue",0.296714563586381,-0.279235147924282,-0.0852219225068912,0.427771409391233,0.173614522072035,0.105982742490922,-0.232075641351282,0.436623624877127,0.0858283946870687,-0.522398886998486,0.0482120095676677,-0.259213995282229,-0.0898888445410238
"Dilution",0.376167410738713,-0.164496192835784,-0.166004588087527,-0.184120742756137,0.101160988863856,0.265851074505721,0.0447637007414821,-0.0781078923070247,0.137226901916571,0.52370586826432,-0.0464232974704091,-0.600958720602046,-0.156718134729921
"Proline",0.286752226896805,0.364902831798082,0.126745917347701,0.232070860359596,0.157868799904569,0.119725572012552,-0.0768045046025006,0.120022668976062,-0.575786107477011,0.16211599759002,-0.539269827675869,0.0794016217292411,0.014447336701464
